"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Barnstable County, MA"	"25001"	"1999"	"1999"	Suppressed	218960	Suppressed
	"Barnstable County, MA"	"25001"	"2000"	"2000"	Suppressed	222230	Suppressed
	"Barnstable County, MA"	"25001"	"2001"	"2001"	Suppressed	224087	Suppressed
	"Barnstable County, MA"	"25001"	"2002"	"2002"	Suppressed	225421	Suppressed
	"Barnstable County, MA"	"25001"	"2003"	"2003"	Suppressed	226011	Suppressed
	"Barnstable County, MA"	"25001"	"2004"	"2004"	Suppressed	224264	Suppressed
	"Barnstable County, MA"	"25001"	"2005"	"2005"	Suppressed	221995	Suppressed
	"Barnstable County, MA"	"25001"	"2006"	"2006"	10	220037	Unreliable
	"Barnstable County, MA"	"25001"	"2007"	"2007"	13	218380	Unreliable
	"Barnstable County, MA"	"25001"	"2008"	"2008"	Suppressed	217066	Suppressed
	"Barnstable County, MA"	"25001"	"2009"	"2009"	Suppressed	215994	Suppressed
	"Barnstable County, MA"	"25001"	"2010"	"2010"	14	215888	Unreliable
	"Barnstable County, MA"	"25001"	"2011"	"2011"	18	215769	Unreliable
	"Barnstable County, MA"	"25001"	"2012"	"2012"	13	215423	Unreliable
	"Barnstable County, MA"	"25001"	"2013"	"2013"	20	214990	9.303
	"Barnstable County, MA"	"25001"	"2014"	"2014"	27	214914	12.563
	"Barnstable County, MA"	"25001"	"2015"	"2015"	51	214333	23.795
	"Barnstable County, MA"	"25001"	"2016"	"2016"	68	214276	31.735
	"Barnstable County, MA"	"25001"	"2017"	"2017"	64	213444	29.984
	"Berkshire County, MA"	"25003"	"1999"	"1999"	Suppressed	135227	Suppressed
	"Berkshire County, MA"	"25003"	"2000"	"2000"	Suppressed	134953	Suppressed
	"Berkshire County, MA"	"25003"	"2001"	"2001"	Suppressed	133928	Suppressed
	"Berkshire County, MA"	"25003"	"2002"	"2002"	Suppressed	133529	Suppressed
	"Berkshire County, MA"	"25003"	"2003"	"2003"	Suppressed	133423	Suppressed
	"Berkshire County, MA"	"25003"	"2004"	"2004"	Suppressed	133076	Suppressed
	"Berkshire County, MA"	"25003"	"2005"	"2005"	Suppressed	132563	Suppressed
	"Berkshire County, MA"	"25003"	"2006"	"2006"	Suppressed	131977	Suppressed
	"Berkshire County, MA"	"25003"	"2007"	"2007"	Suppressed	131883	Suppressed
	"Berkshire County, MA"	"25003"	"2008"	"2008"	Suppressed	131372	Suppressed
	"Berkshire County, MA"	"25003"	"2009"	"2009"	Suppressed	131264	Suppressed
	"Berkshire County, MA"	"25003"	"2010"	"2010"	Suppressed	131219	Suppressed
	"Berkshire County, MA"	"25003"	"2011"	"2011"	Suppressed	130458	Suppressed
	"Berkshire County, MA"	"25003"	"2012"	"2012"	13	130016	Unreliable
	"Berkshire County, MA"	"25003"	"2013"	"2013"	14	129585	Unreliable
	"Berkshire County, MA"	"25003"	"2014"	"2014"	18	128715	Unreliable
	"Berkshire County, MA"	"25003"	"2015"	"2015"	24	127828	18.775
	"Berkshire County, MA"	"25003"	"2016"	"2016"	32	126903	25.216
	"Berkshire County, MA"	"25003"	"2017"	"2017"	26	126313	20.584
	"Bristol County, MA"	"25005"	"1999"	"1999"	Suppressed	531208	Suppressed
	"Bristol County, MA"	"25005"	"2000"	"2000"	Suppressed	534678	Suppressed
	"Bristol County, MA"	"25005"	"2001"	"2001"	16	538282	Unreliable
	"Bristol County, MA"	"25005"	"2002"	"2002"	18	542721	Unreliable
	"Bristol County, MA"	"25005"	"2003"	"2003"	21	546281	3.844
	"Bristol County, MA"	"25005"	"2004"	"2004"	14	545988	Unreliable
	"Bristol County, MA"	"25005"	"2005"	"2005"	19	545437	Unreliable
	"Bristol County, MA"	"25005"	"2006"	"2006"	30	544487	5.510
	"Bristol County, MA"	"25005"	"2007"	"2007"	30	545288	5.502
	"Bristol County, MA"	"25005"	"2008"	"2008"	37	546456	6.771
	"Bristol County, MA"	"25005"	"2009"	"2009"	25	547324	4.568
	"Bristol County, MA"	"25005"	"2010"	"2010"	31	548285	5.654
